0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:18 +0800] "GET //Bahoot HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:27 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34877
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:27 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:28 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34877
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:28 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:44 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34869
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:44 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:54 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34881
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:54 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:58:08 +0800] "GET /Bahoot/selection.jsp HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:58:08 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:58:49 +0800] "GET /Bahoot/selection.jsp HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:58:49 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:08 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34898
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:08 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:09 +0800] "GET /Bahoot/selection.jsp?room_code=774537 HTTP/1.1" 200 5899
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:09 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:13 +0800] "GET /Bahoot/viewQuestions?setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:13 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:22 +0800] "GET /Bahoot/viewQuestions?setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:59:22 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:00:13 +0800] "GET /Bahoot/selection.jsp?room_code=774537 HTTP/1.1" 200 5899
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:00:13 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:00 +0800] "GET /Bahoot/viewQuestions?setid=5&totalQn=5&room_code=774537 HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:00 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:00 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:01 +0800] "GET /Bahoot/viewQuestions?qnNo=2&setid=5&totalQn=5&room_code=774537 HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:01 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:03 +0800] "GET /Bahoot/viewQuestions?qnNo=3&setid=5&totalQn=5&room_code=774537 HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:03 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:03 +0800] "GET /Bahoot/viewQuestions?qnNo=4&setid=5&totalQn=5&room_code=774537 HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:03 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:04 +0800] "GET /Bahoot/viewQuestions?qnNo=5&setid=5&totalQn=5&room_code=774537 HTTP/1.1" 200 3980
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:04 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:04 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=5&totalQn=5&room_code=774537 HTTP/1.1" 200 27790
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:04 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:46 +0800] "GET /Bahoot/index.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:01:46 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:13:52 +0800] "GET /Bahoot/index.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:13:52 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:13:52 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:14:49 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=5&totalQn=5&room_code=774537 HTTP/1.1" 200 27920
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:14:49 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:14:57 +0800] "POST /Bahoot/endSession HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:16:29 +0800] "POST /Bahoot/endSession HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:21:53 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:21:55 +0800] "POST /Bahoot/endSession HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:24:43 +0800] "GET /Bahoot/endSession?room_code=774537 HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:24:51 +0800] "POST /Bahoot/endSession?room_code=774537 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:25:11 +0800] "POST /Bahoot/endSession?room_code=4332 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:30:20 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:30:23 +0800] "POST /Bahoot/endSession HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:32:11 +0800] "POST /Bahoot/endSession HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:32:11 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:32:11 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:29 +0800] "GET /Bahoot/ HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:29 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:29 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:33 +0800] "GET /Bahoot/selection.jsp?room_code=999 HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:33 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:34 +0800] "GET /Bahoot/viewQuestions?setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:34 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:36 +0800] "GET /Bahoot/viewQuestions?qnNo=2&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:36 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:37 +0800] "GET /Bahoot/viewQuestions?qnNo=3&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:37 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:38 +0800] "GET /Bahoot/viewQuestions?qnNo=4&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:38 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:40 +0800] "GET /Bahoot/viewQuestions?qnNo=5&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 3970
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:40 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:47:40 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:48:10 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:48:12 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:48:25 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:48:26 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:48:28 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:48:44 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 25050
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:48:44 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:49:45 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 25957
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:49:45 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:49:58 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 26871
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:49:58 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:50:18 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=999 HTTP/1.1" 200 27863
0:0:0:0:0:0:0:1 - - [30/Mar/2023:11:50:18 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
